[2025-06-23T17:42:04.375+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.378+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.381+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.384+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.386+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.389+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.392+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.394+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.397+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.399+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.402+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.404+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.407+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.409+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.412+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.414+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.417+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.419+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.422+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.424+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.427+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.429+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.432+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.434+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.436+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.439+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.441+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.444+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.446+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.448+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.451+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.453+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.456+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.458+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.461+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.463+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.466+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.469+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.471+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.474+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.476+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.479+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.481+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.483+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.486+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.488+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.490+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.493+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.495+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.497+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.500+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.502+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.504+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.506+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.509+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
