[2025-06-11T18:23:30.151+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_145.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.153+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_146.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.155+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_147.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.157+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_148.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.159+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_149.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.160+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_15.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.162+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_150.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.164+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_151.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.165+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_152.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.167+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_153.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.169+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_154.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.171+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_155.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.173+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_156.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.174+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_157.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.176+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_158.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.178+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_159.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.180+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_16.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.181+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_160.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.183+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_161.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.184+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_162.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.186+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_163.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.187+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_164.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.189+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_165.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.191+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_166.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.192+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_167.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.194+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_168.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.196+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_169.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.197+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_17.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.199+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_170.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.201+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_171.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.202+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_172.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
